,Date,User,Tweet
0,2022-12-05 18:14:28+00:00,0xbinancepay,"Anyone Interested Ens Nameserver and Aptos Nameserver
Ens: plzdonate.eth
Aptosh: Elonmusk.move

#domains #namerserver"
1,2022-12-05 18:14:28+00:00,DrMarcio7,"@elonmusk posts are shadowbanned on @Twitter Brazil. I follow him, but his posts don't appear on my tl. I have to go to his page to see his posts. This has been the case since the acquisition. Check out Elon."
2,2022-12-05 18:14:28+00:00,Sl1mTh1ckens,"@ThisIsKyleR @elonmusk Kyle,

Can you tell me what so many conservatives are obsessed with cocks?"
3,2022-12-05 18:14:28+00:00,MudaBrasilia22,"@LulaOficial @JakeSullivan46 @JoeBiden @ricardostuckert elon musk provando com documentos, oq fez a administraçao biden acerca dos perfis de direita aqui no twitter. Agora, o condenado na lava jato nao só por Moro, mas outras instancias, se reunindo com AMBOS criminosos. vIXE. Vai dar merda, vai dar merda. Ja deu merda . Tic tac tic"
4,2022-12-05 18:14:28+00:00,DavidSc73232677,@jamieja15630060 @elonmusk @sama Afraid of dissenting opinions much? #triggered #leftwinghack
5,2022-12-05 18:14:28+00:00,IMYOURSLIVIA,"@elonmusk Okk
https://t.co/A01sux0meK"
6,2022-12-05 18:14:28+00:00,0xChiknWizard,@elonmusk @MuskUniversity @MakeItAQuote
7,2022-12-05 18:14:27+00:00,Marques_R_M,@elonmusk @MrBeast Hahahaahaha what a god 🤣🤣
8,2022-12-05 18:14:27+00:00,JamezOfEL88,@elonmusk Of course.  Elon taking property and credit from the artist who created this.  Oh. Kinda like what he did with Tesla.
9,2022-12-05 18:14:27+00:00,fireater02,"@elonmusk So, who are the brown shirts in this fantasy of yours?"
10,2022-12-05 18:14:27+00:00,Meridian131,"@madams95 @elonmusk @FoxNews ""Getting rid of"" is exactly what he meant."
11,2022-12-05 18:14:27+00:00,AbduKhaliqBC,Thank you ⁦@elonmusk⁩ https://t.co/KggFyz6mWm
12,2022-12-05 18:14:27+00:00,Trump2006866404,@Biancawamu2 @elonmusk @WholeMarsBlog We've been asking about favorism for years DemocRAT tyrants get to spew idiocy. while we were silenced for truth. sucks to be on the other side doesn't it.
13,2022-12-05 18:14:27+00:00,JJ6122,@elonmusk 🙄 https://t.co/p5c3X9G1Fg
14,2022-12-05 18:14:26+00:00,MarcinCTO,"@themattwalton @ThisIsKyleR @elonmusk God bless, that video saved Kyle's life. The demons can't spin lies when the truth has a recorded."
15,2022-12-05 18:14:26+00:00,ELVeeMaryland,@EngineerMike_ @maestrocochran @Renee35571517 @celineInBC @babe_freedom @elonmusk @FoxNews The diary isn’t your business. And it wasn’t verified.
16,2022-12-05 18:14:25+00:00,zikmafi,@Rickittyrickk @elonmusk @sama 🤣🤣🤣😂
17,2022-12-05 18:14:25+00:00,Calevi_,"@xxermio @PatBuckley63 @BB46786 @RealTBONEHusker @elonmusk Violently overthrow? What are you   talking about, have you watched any recordings from jan 6 or are you high on mushrooms or something?"
18,2022-12-05 18:14:25+00:00,DennyKirwin,Elon Musk's next Twitter bombshells could explode social media tyranny https://t.co/PkBqq0JKRj #FoxNews
19,2022-12-05 18:14:25+00:00,AlessaV81,@SorellaBaderla @gspazianitesta @ricpuglisi @TIM_Official @elonmusk Totalmente inutile https://t.co/4UIJYf0eDN
20,2022-12-05 18:14:25+00:00,iamraisini,"@TEDchris @elonmusk Notice the keywords:
Nuclear, warhead, black hole, rockets, flamethrowers, Musklandia, colonize. Words of Power &amp; Patriarchy and thats how Elon wants the world to see him."
21,2022-12-05 18:14:24+00:00,lina_lolis,@elonmusk @MuskUniversity Elon PLZ GET WIKIPEDIA or create new true platform TRUEPEDIA and don’t let schizophrenics mess with info. 🥰
22,2022-12-05 18:14:24+00:00,salzsalzsalz,"@donmoyn so @elonmusk is lying again, what a surprise, aint it ?"
23,2022-12-05 18:14:24+00:00,Mrs_Gavin_Smith,@elonmusk I hope you take legal actions against the flat out lies being told. We need transparency and accountability to fix this fissure in America! Thabk you for all you've done thus far! https://t.co/4QJtx2HY9r
24,2022-12-05 18:14:24+00:00,roaster_ron,@cb_doge @elonmusk Rather would just practice making babies…
25,2022-12-05 18:14:24+00:00,mtdiablomama,@elonmusk Still waiting!
26,2022-12-05 18:14:24+00:00,Yogesh_gosavi_,"twitter is showing one ad per 2/3 tweets, this has not been the case before 😳 
@elonmusk"
27,2022-12-05 18:14:24+00:00,abel68702463,"@IFTF6 @GerberKawasaki @TroyTeslike @elonmusk There isn’t much available in inventory.
Hardly anything really. Backlog going down is what is required really. Tesla can’t have massive back logs forever that would be silly"
28,2022-12-05 18:14:24+00:00,tgmotz,@ProudElephantUS @elonmusk It's still early and he's already accomplished tasks that the previous leadership meat suits could not like clamping down on child trafficking.
29,2022-12-05 18:14:24+00:00,JohnSmith19812,@cacktiz @Maziar_Law @elonmusk @MuskUniversity Ba ha ha!! What a tool.
30,2022-12-05 18:14:23+00:00,aCeLiFyVS,"@elonmusk @MrBeast You didn’t hook him up with the WiFi password Elon, cmon."
31,2022-12-05 18:14:23+00:00,Cindy_J_Coker,@THillhome @elonmusk @MuskUniversity I'm sure you thought that sounded great.
32,2022-12-05 18:14:23+00:00,JuanDav53508491,"@AgusVillarreeal @EmmaRincon @elonmusk Según usted, no nos vigilan, aunque lo han hecho antes, como está comprobado."
33,2022-12-05 18:14:23+00:00,ricardonirebi,"@RicardoMedinaCs @avtperu2026 @EmmaRincon @elonmusk @nytimes Si tú dejas una computadora para reparar el técnico no tiene derecho a estar viendo que cosas privadas tienes en la computadora. Y si las publica (literalmente) en el periódico comete una infracción. En fin, cualquier cosa, no votes por Hunter Biden."
34,2022-12-05 18:14:23+00:00,hotblackmom,"@elonmusk In order to succeed, you must first believe that you can."
35,2022-12-05 18:14:22+00:00,NathanN42261742,"Banni 2x de ce réseau infâme. Ne vous méprenez pas. Même si @elonmusk a faits le tri dans l'Amat de gauchiste de l'équipe twitter, les règles reste aussi restrictives."
36,2022-12-05 18:14:22+00:00,ga_haile,"Many detained Tigrayans are tortured and, &amp; some have been executed. If they haven't died from torture &amp; execution, they have died from starvation &amp; disease.
#ReleaseTigrayanPrisoners #EndTigrayGenocide @ChrisCoons @UNGeneva @hrw  @IntlCrimCourt @Reuters @elonmusk
@UNOCHA https://t.co/ib9QjC4rLX"
37,2022-12-05 18:14:22+00:00,gagontcmc,@diferley @criptoalien @elonmusk @AlvisePerez https://t.co/wi4wig27LV
38,2022-12-05 18:14:22+00:00,hypochondria48,"@stellab9351558 @susanbrill @ClayTravis @Twitter @elonmusk @nytimes Exactly. Of course the MSM aren't covering this yet because only half of the ""story"" has been released. If Trump had wanted every mention of his many legal cases for rape, fraud, tax evasion removed, Twitter would have been an empty space!!"
39,2022-12-05 18:14:21+00:00,jtaro32,"@elonmusk 
ノアの方舟に乗せてください！"
40,2022-12-05 18:14:21+00:00,OMovies,@LenaEpstein @elonmusk He exposed Hunter Biden's penis. Pretty big #HungLikeAbiden https://t.co/t42z8QqOzR
41,2022-12-05 18:14:21+00:00,scrunklyluna,@kanabenii @MickleChrom @IAMTHESLIME_ @elonmusk i m stupid :3 hope this helps
42,2022-12-05 18:14:21+00:00,hamilton_susin,@muskQu0tes @elonmusk You didn’t vet shit! But you did open yourself to a pretty good lawsuit it you can’t prove your shit! https://t.co/6iKj7rrE9m
43,2022-12-05 18:14:20+00:00,OwegaSylvia,@The__Trickster_ @elonmusk Unfortunately Homo Sapiens are are brutal and terrible species; and many atrocities have been committed by the meek.
44,2022-12-05 18:14:20+00:00,BrowneJim1,@IanJaegerNPC Elon Musk is the best thing that has happened for conservative believing people since the left leaning media has been exposed as deceitful and untrustworthy. MAGA
45,2022-12-05 18:14:20+00:00,LegalThug__9,@MattWallace888 @LayahHeilpern @elonmusk Lol!
46,2022-12-05 18:14:20+00:00,LoveKamuela,@ChristineCalca2 @CharleSaldanha @DillonLoomis22 @elonmusk And he wasn’t born in the US.
47,2022-12-05 18:14:20+00:00,PumaExperto,@GolDeAlbertano @elonmusk Jajajaja ahora que o quién fue?
48,2022-12-05 18:14:19+00:00,joyce_stanphill,@ProudElephantUS @elonmusk He has done awesome
49,2022-12-05 18:14:19+00:00,ElonIsTheKing,@elonmusk @WholeMarsBlog Hahaha ELON THE GOAT!!
